,field_year,field_category,field_publication,title,field_abbr_citation
0,1947,Correspondence,The New York Times,Brooks Atkinson,"For distinguished correspondence during 1946, as exemplified by his series of articles on Russia."
1,1946,Correspondence,The New York Times,Arnaldo Cortesi,"For distinguished correspondence during the year 1945, as exemplified by his reports from Buenos Aires, Argentina"
2,1945,Correspondence,Associated Press,Harold V. (Hal) Boyle,For distinguished war correspondence during the year 1944.
3,1944,Correspondence,Scripps-Howard Newspaper Alliance,Ernest Taylor Pyle,For distinguished war correspondence during the year 1943
4,1943,Correspondence,The New York Times,Hanson W. Baldwin,For his report of his wartime tour of the Southwest Pacific.
5,1942,Correspondence,Philippines Herald,Carlos P. Romulo,For his observations and forecasts of Far Eastern developments during a tour of the trouble centers from Hong Kong to Batavia.
6,1941,Correspondence,,Group Award,"In place of an individual Pulitzer Prize for foreign correspondence, the Trustees approved the recommendation of the Advisory Board that a bronze plaque or scroll be designed and executed to recognize and symbolize the public services and the individual achievements of American news reporters in the war zones of Europe, Asia and Africa from the beginning of the present war."
7,1940,Correspondence,The New York Times,Otto D. Tolischus,For his dispatches from Berlin.
8,1939,Correspondence,Associated Press,Louis P. Lochner,For his dispatches from Berlin
9,1938,Correspondence,The New York Times,Arthur Krock,"For his exclusive authorized interview with the President of the United States on February 27, 1937."
10,1937,Correspondence,New York Times,Anne O'Hare McCormick,For her dispatches and feature articles from Europe in 1936.
11,1936,Correspondence,Chicago Tribune,Wilfred C. Barber,For his reports of the war in Ethiopia. (A posthumous award.)
12,1935,Correspondence,The New York Times,Arthur Krock,For his Washington dispatches
13,1934,Correspondence,The New York Times,Frederick T. Birchall,For his correspondence from Europe
14,1933,Correspondence,Chicago Daily News,Edgar Ansel Mowrer,"For his day-by-day coverage and interpretation of the series of German political crises in 1932, beginning with the presidential election and the struggle of Adolph Hitler for public office."
15,1932,Correspondence,St. Louis Post-Dispatch,Charles G. Ross,"For his article entitled, &quot;The Country&#039;s Plight -- What Can Be Done About It?&quot; -- a discussion of economic situation of the United States."
16,1932,Correspondence,The New York Times,Walter Duranty,For his series of dispatches on Russia especially the working out of the Five Year Plan.
17,1931,Correspondence,Philadelphia Public Ledger and New York Evening Post,H. R. Knickerbocker,For a series of articles on the practical operation of the Five Year Plan in Russia.
18,1930,Correspondence,New York Herald Tribune,Leland Stowe,For the series of articles covering conferences on reparations and the establishment of the international bank
19,1929,Correspondence,Chicago Daily News,Paul Scott Mowrer,For his coverage of international affairs including the Franco-British Naval Pact and Germany&#039;s campaign for revision of the Dawes Plan.
20,1997,Explanatory Journalism,The Philadelphia Inquirer,"Michael Vitez, April Saul and Ron Cortes",For a series on the choices that confronted critically-ill patients who sought to die with dignity.
21,1996,Explanatory Journalism,Newsday,Laurie Garrett,For her courageous reporting from Zaire on the Ebola virus outbreak there. (The winner was entered and nominated in the International Reporting category and was moved by the Pulitzer Prize Board to Explanatory Journalism.)
22,1995,Explanatory Journalism,The Washington Post,Leon Dash and Lucian Perkins,"For their profile of a District of Columbia family&#039;s struggle with destructive cycles of poverty, illiteracy, crime and drug abuse."
23,1994,Explanatory Journalism,Chicago Tribune,Ronald Kotulak,For his lucid coverage of current developments in neurological science.
24,1993,Explanatory Journalism,The Atlanta Journal-Constitution,Mike Toner,"For &quot;When Bugs Fight Back,&quot; a series that explored the diminishing effectiveness of antibiotics and pesticides."
25,1992,Explanatory Journalism,Hartford (CT) Courant,Robert S. Capers and Eric Lipton,For a series about the flawed Hubble Space Telescope that illustrated many of the problems plaguing America&#039;s space program.
26,1991,Explanatory Journalism,The Wall Street Journal,Susan C. Faludi,"For a report on the leveraged buy-out of Safeway Stores, Inc., that revealed the human costs of high finance."
27,1990,Explanatory Journalism,The Washington Post,David A. Vise and Steve Coll,"For stories scrutinizing the Securities and Exchange Commission and the way it has been affected by the policies of its former chairman, John Shad."
28,1989,Explanatory Journalism,The Dallas Morning News,"David Hanners, William Snyder, and Karen Blessen","For their special report on a 1986 airplane crash, the follow-up investigation, and the implications for air safety."
29,1988,Explanatory Journalism,The Wall Street Journal,Daniel Hertzberg and James B. Stewart,"For their stories about an investment banker charged with insider trading and the critical day that followed the October 19, 1987, stock market crash."
30,1987,Explanatory Journalism,Chicago Tribune,Jeff Lyon and Peter Gorner,"For their series on the promises of gene therapy, which examined the implications of this revolutionary medical treatment."
31,1986,Explanatory Journalism,The New York Times,Staff,"For a six-part comprehensive series on the Strategic Defense Initiative, which explored the scientific, political and foreign policy issues involved in &quot;Star Wars.&quot;"
32,1985,Explanatory Journalism,The Baltimore Evening Sun,Jon Franklin,"For his seven-part series &quot;The Mind Fixers,&quot; about the new science of molecular psychiatry."
33,1990,General News Reporting,San Jose (CA) Mercury News,Staff,"For its detailed coverage of the October 17, 1989, Bay Area earthquake and its aftermath."
34,1989,General News Reporting,Louisville Courier-Journal,Staff,For its exemplary initial coverage of a bus crash that claimed 27 lives and its subsequent thorough and effective examination of the causes and implications of the tragedy.
35,1988,General News Reporting,Lawrence (MA) Eagle-Tribune,Staff,For an investigation that revealed serious flaws in the Massachusetts prison furlough system and led to significant statewide reforms.
36,1988,General News Reporting,The Alabama Journal,Staff,"For its compelling investigation of the state&#039;s unusually high infant-mortality rate, which prompted legislation to combat the problem."
37,1987,General News Reporting,Akron Beacon Journal,Staff,"For its coverage, under deadline pressure, of the attempted takeover of Goodyear Tire and Rubber Co. by a European financier."
38,1986,General News Reporting,The Miami Herald,Edna Buchanan,For her versatile and consistently excellent police beat reporting.
39,1985,General News Reporting,Virginian-Pilot and Ledger-Star,Thomas Turcol,For City Hall coverage which exposed the corruption of a local economic development official.
40,1984,Local General or Spot News Reporting,Newsday,A team of reporters,For their enterprising and comprehensive coverage of the Baby Jane Doe case and its far-reaching social and political implications.
41,1983,Local General or Spot News Reporting,Fort Wayne (IN) News-Sentinel,Editorial Staff,For its courageous and resourceful coverage of a devastating flood in March 1982.
42,1982,Local General or Spot News Reporting,Kansas City Star and Kansas City Times,Staff,For coverage of the Hyatt Regency Hotel disaster and identification of its causes.
43,1981,Local General or Spot News Reporting,Longview (WA) Daily News,Staff,"For its coverage of the Mt. St. Helens story, including the photographs by Roger A. Werth."
44,1980,Local General or Spot News Reporting,The Philadelphia Inquirer,Staff,For coverage of the nuclear accident at Three Mile Island.
45,1979,Local General or Spot News Reporting,San Diego (CA) Evening Tribune,Staff,For its coverage of the collision of a Pacific Southwest air liner with a small plane over its city.
46,1978,Local General or Spot News Reporting,Louisville Courier-Journal,Richard Whitt,"For his coverage of a fire that took 164 lives at the Beverly Hills Supper Club at Southgate, Ky., and subsequent investigation of the lack of enforcement of state fire codes."
47,1977,Local General or Spot News Reporting,The Milwaukee Journal,Margo Huston,For her reports on the elderly and the process of aging.
48,1976,Local General or Spot News Reporting,Miami Herald,Gene Miller,For his persistent and courageous reporting over eight and one-half years that led to the exoneration and release of two men who had twice been tried for murder and wrongfully convicted and sentenced to death in Florida.
49,1975,Local General or Spot News Reporting,Xenia (OH) Daily Gazette,Staff,"For its coverage, under enormous difficulties, of the tornado that wrecked the city on April 3, 1974."
50,1974,Local General or Spot News Reporting,Chicago Sun-Times,Arthur M. Petacque and Hugh F. Hough,For uncovering new evidence that led to the reopening of efforts to solve the 1966 murder of Valerie Percy.
51,1973,Local General or Spot News Reporting,Chicago Tribune,Staff,"For uncovering flagrant violations of voting procedures in the primary election of March 21, 1972."
52,1972,Local General or Spot News Reporting,Rochester (NY) Times-Union,Richard Cooper and John Machacek,"For their coverage of the Attica, New York prison riot."
53,1971,Local General or Spot News Reporting,Akron (OH) Beacon Journal,Staff,"For its coverage of the Kent State University tragedy on May 4, 1970."
54,1970,Local General or Spot News Reporting,Chicago Sun-Times,Thomas Fitzpatrick,"For his article about the violence of youthful radicals in Chicago, &quot;A Wild Night&#039;s Ride With SDS.&quot;"
55,1969,Local General or Spot News Reporting,Louisville Times and Courier-Journal,John Fetterman,"For his article, &quot;Pfc. Gibson Comes Home,&quot; the story of an American soldier whose body was returned to his native town from Vietnam for burial."
56,1968,Local General or Spot News Reporting,Detroit Free Press,Staff,"For its coverage of the Detroit riots of 1967, recognizing both the brilliance of its detailed spot news staff work and its swift and accurate investigation into the underlying causes of the tragedy."
57,1967,Local General or Spot News Reporting,Chambersburg (Pennsylvania) Public Opinion,Robert V. Cox,For his vivid deadline reporting of a mountain manhunt that ended with the killing of a deranged sniper who had terrorized the community.
58,1966,Local General or Spot News Reporting,Los Angeles Times,Staff,For its coverage of the Watts riots.
59,1965,Local General or Spot News Reporting,Hungry Horse News,Melvin H. Ruder,"For his daring and resourceful coverage of a disastrous flood that threatened his community, an individual effort in the finest tradition of spot news reporting."
60,1964,Local General or Spot News Reporting,The Wall Street Journal,Norman C. Miller,For his comprehensive account of a multi-million dollar vegetable oil swindle in New Jersey.
